Hotel Name,Brand,Management Company,Contact Email,Contact Name,Status,Rate/Night,Total (2 Nights),Min Stay,Room Type,Deposit Policy,Cancellation Policy,Hold Deadline,Distance (mi),Walkable,Notes
Comfort Suites University Area,Choice Hotels,HFL Hotels,mhouser@hfl-hotels.com,Michael Houser,Responded - Available,$659,"$1,318",2,"2 Queen + Pullout Sofa OR 1 King + Pullout Sofa",Full prepayment at booking,60-day cancellation,,2.3,No,"LOWEST RATE - Group rate for 6 rooms - Standard rate $739 - Free breakfast"
Hampton Inn & Suites,Hilton,,,,Responded - Available,$749,"$1,498",,,Deposit after 30-day window,30-day refundable,,2.1,No,2nd lowest rate
Hilton Garden Inn,Hilton,,,,Responded - Available,$799,"$1,598",2,Double Queen,Full payment at booking,30-day refundable,March 2 2026,0.8,Yes,Rooms currently held - 6 rooms for Fri & Sat
Penn Stater Hotel,Independent,,,,Responded - Available,$799,"$1,598",2,,Full prepayment required,Non-refundable,,1.2,No,Strict terms
Best Western Plus,University Park Inn,,bwup@nittanyhotel.com,,Responded - Available,$829-$1299,"$1,658-$2,598",2,Varies by room type,1st night + tax,"30-day (no cancel after)",,2.8,No,No event discounts - 814-234-8393
Nittany Lion Inn,Independent,,,,Responded - Not Available,,,,,,,,0.3,Yes,Sold out
Toftrees Resort,Independent,,groupsales@toftrees.com,,Awaiting Reply,,,,,,,,3.5,No,Earlier outreach
Graduate State College,Hilton,,info@graduatestatecollege.com,,Awaiting Reply,,,,,,,,0.5,Yes,Earlier outreach
PSU Central Reservations,Penn State,,reservations@psu.edu,,Awaiting Reply,,,,,,,,0.4,Yes,Earlier outreach
Carnegie House,"Independent, Boutique",,Concierge@carnegiehouse.com,,Just Emailed (Feb 14),,,,,,,,0.7,Yes,
SpringHill Suites,Marriott,Shaner Hotels,scshsgm@shanerhotels.com,,Just Emailed (Feb 14),,,,,,,,1.9,Yes,
Hyatt Place State College,Hyatt,Scholar Hotels,dnixon@scholarhotels.com,Dawn Nixon,Just Emailed (Feb 14),,,,,,,,0.6,Yes,
Courtyard by Marriott,Marriott,Scholar Hotels,dnixon@scholarhotels.com,Dawn Nixon,Just Emailed (Feb 14),,,,,,,,1.8,Yes,
Residence Inn,Marriott,Scholar Hotels,dnixon@scholarhotels.com,Dawn Nixon,Just Emailed (Feb 14),,,,,,,,1.5,Yes,
Fairfield Inn & Suites,Marriott,Shaner Hotels,info@shanercorp.com,Mike Corcoran,Just Emailed (Feb 14),,,,,,,,1.6,Yes,
Days Inn,Wyndham,Lion Country Lodging,sales@centrehotel.com,,Just Emailed (Feb 14),,,,,,,,2.5,No,1274 N. Atherton - 240 S. Pugh location appears CLOSED
Quality Inn & Suites,Choice Hotels,Lion Country Lodging,sales@centrehotel.com,,Just Emailed (Feb 14),,,,,,,,3.1,No,1274 N. Atherton
