Time,Event,Location,Who,Notes
8:00 AM,Hair & Makeup team arrives,Bridal Suite,Glam team,Set up stations
9:00 AM,Bride hair begins,Bridal Suite,Bride + stylist,
9:30 AM,Bridesmaids arrive,Bridal Suite,Bridesmaids,
10:00 AM,Bridesmaids hair begins,Bridal Suite,Bridesmaids,
10:30 AM,Groom & groomsmen getting ready,Groom's Suite,Groom + groomsmen,
11:00 AM,Photographer arrives,Bridal Suite,Photographer,Detail shots - dress rings shoes
11:30 AM,Bride makeup begins,Bridal Suite,Bride,
12:00 PM,Lunch delivered,Both suites,Everyone,Light lunch - no red sauce!
12:30 PM,Videographer arrives,Bridal Suite,Videographer,
1:00 PM,Bride gets into dress,Bridal Suite,Bride + MOH,Photo moment
1:30 PM,Groom gets dressed,Groom's Suite,Groom + best man,
2:00 PM,First look,Garden Gazebo,Bride + Groom,Private moment
2:30 PM,Couple photos,Garden,Bride + Groom + Photographers,
3:00 PM,Wedding party photos,Garden,Full wedding party,
3:30 PM,Family photos,Garden,Immediate family,List prepared
4:00 PM,Guests begin arriving,Ceremony Lawn,Guests,Ushers seat guests
4:15 PM,Bride & bridesmaids hidden,Bridal Suite,Bridal party,Final touch-ups
4:25 PM,Groom takes position,Ceremony Altar,Groom + officiant,
4:30 PM,Ceremony begins,Ceremony Lawn,Everyone,Processional music cue
5:00 PM,Ceremony ends,Ceremony Lawn,Everyone,Recessional
5:05 PM,Receiving line OR couple photos,Terrace/Garden,Couple,Choose one
5:15 PM,Cocktail hour begins,Terrace,Guests,Passed apps + signature drinks
5:15 PM,More couple/family photos,Garden,Couple + family,Any missed shots
6:00 PM,Guests seated for reception,Ballroom,Guests,DJ announces
6:10 PM,Wedding party entrance,Ballroom,Wedding party,Intro music
6:15 PM,Couple grand entrance,Ballroom,Bride + Groom,Special song
6:20 PM,First dance,Ballroom,Bride + Groom,Song: TBD
6:30 PM,Welcome & toasts begin,Ballroom,Best man + MOH,
6:45 PM,Dinner service begins,Ballroom,Everyone,
7:30 PM,Parent dances,Ballroom,Parents,Father-daughter then mother-son
7:45 PM,Open dancing begins,Ballroom,Everyone,
8:30 PM,Cake cutting,Ballroom,Bride + Groom,Photo op
8:45 PM,Bouquet toss,Ballroom,Single ladies,Optional
9:00 PM,Dancing continues,Ballroom,Everyone,
10:30 PM,Last call announced,Ballroom,DJ,
10:45 PM,Last dance,Ballroom,Everyone,
11:00 PM,Sparkler send-off,Front entrance,Everyone,Coordinator distributes sparklers
